Organism,fur,marine/terrestrial,kingdom,feathers,scales,fins,"carnivore, omni, herb, NA",vertibrate,eggs/ live young/ NA,photosynthesis,multicellular/unicellular,wings,how many legs,auto/heterotroph,poisonous,cold/ warm blooded/NA,Eukaryotic/Prokaryotic,decomposer,hooves,long tail,domesticated
butterfly,no,terrestrial,animalia,no,no,no,herbivore,no,eggs,no,multicellular,yes,6,heterotroph,no,cold,Eukaryotic,no,no,no,no
black widow,no,terrestrial,animalia,no,no,no,carnivore,no,eggs,no,multicellular,no,8,heterotroph,yes,cold,Eukaryotic,no,no,no,no
fly,no,terrestrial,animalia,no,no,no,omnivore,no,eggs,no,multicellular,yes,6,heterotroph,no,cold,Eukaryotic,no,no,no,no
bee,no,terrestrial,animalia,no,no,no,herbivore,no,eggs,no,multicellular,yes,6,heterotroph,no,cold,Eukaryotic,no,no,no,no
wasp,no,terrestrial,animalia,no,no,no,omnivore,no,eggs,no,multicellular,yes,6,heterotroph,no,cold,Eukaryotic,no,no,no,no
mosquito,no,terrestrial,animalia,no,no,no,omnivore,no,eggs,no,multicellular,yes,6,heterotroph,no,cold,Eukaryotic,no,no,no,no
flea,no,terrestrial,animalia,no,no,no,carnivore,no,eggs,no,multicellular,no,6,heterotroph,no,cold,Eukaryotic,no,no,no,no
scorpion,no,terrestrial,animalia,no,no,no,carnivore,no,eggs,no,multicellular,no,8,heterotroph,yes,cold,Eukaryotic,no,no,yes,no
moth,no,terrestrial,animalia,no,no,no,herbivore,no,eggs,no,multicellular,yes,6,heterotroph,no,cold,Eukaryotic,no,no,no,no
dragonfly,no,terrestrial,animalia,no,no,no,carnivore,no,eggs,no,multicellular,yes,6,heterotroph,no,cold,Eukaryotic,no,no,yes,no
chipmunk,yes,terrestrial,animalia,no,no,no,omnivore,yes,live young,no,multicellular,no,4,heterotroph,no,warm,Eukaryotic,no,no,no,no
squirrel,yes,terrestrial,animalia,no,no,no,omnivore,yes,live young,no,multicellular,no,4,heterotroph,no,warm,Eukaryotic,no,no,yes,no
badger,yes,terrestrial,animalia,no,no,no,omnivore,yes,live young,no,multicellular,no,4,heterotroph,no,warm,Eukaryotic,no,no,no,no
beaver,yes,terrestrial,animalia,no,no,no,herbivore,yes,live young,no,multicellular,no,4,heterotroph,no,warm,Eukaryotic,no,no,yes,no
bobcat,yes,terrestrial,animalia,no,no,no,carnivore,yes,live young,no,multicellular,no,4,heterotroph,no,warm,Eukaryotic,no,no,no,no
skunk,yes,terrestrial,animalia,no,no,no,omnivore,yes,live young,no,multicellular,no,4,heterotroph,no,warm,Eukaryotic,no,no,yes,no
otter,yes,marine,animalia,no,no,no,omnivore,yes,live young,no,multicellular,no,4,heterotroph,no,warm,Eukaryotic,no,no,no,no
penguin,no,terrestrial,animalia,no,no,no,carnivore,yes,eggs,no,multicellular,yes,0,heterotroph,no,warm,Eukaryotic,no,no,no,no
porcupine,no,terrestrial,animalia,no,no,no,herbivore,yes,live young,no,multicellular,no,4,heterotroph,no,warm,Eukaryotic,no,no,yes,no
raccoon,yes,terrestrial,animalia,no,no,no,omnivore,yes,live young,no,multicellular,no,4,heterotroph,no,warm,Eukaryotic,no,no,no,no
eagle,no,terrestrial,animalia,yes,no,no,carnivore,yes,eggs,no,multicellular,yes,2,heterotroph,no,warm,Eukaryotic,no,no,no,no
owl,no,terrestrial,animalia,yes,no,no,carnivore,yes,eggs,no,multicellular,yes,2,heterotroph,no,warm,Eukaryotic,no,no,no,no
woodpecker,no,terrestrial,animalia,yes,no,no,omnivore,yes,eggs,no,multicellular,yes,2,heterotroph,no,warm,Eukaryotic,no,no,no,no
goose,no,terrestrial,animalia,yes,no,no,omnivore,yes,eggs,no,multicellular,yes,2,heterotroph,no,warm,Eukaryotic,no,no,no,yes
vulture,no,terrestrial,animalia,yes,no,no,carnivore,yes,eggs,no,multicellular,yes,2,heterotroph,no,warm,Eukaryotic,no,no,yes,no
turkey,no,terrestrial,animalia,yes,no,no,omnivore,yes,eggs,no,multicellular,yes,2,heterotroph,no,warm,Eukaryotic,no,no,yes,yes
tree frog,no,terrestrial,animalia,no,no,no,carnivore,yes,eggs,no,multicellular,no,4,heterotroph,yes,cold,Eukaryotic,no,no,no,no
salamander,no,terrestrial,animalia,no,no,no,carnivore,yes,eggs,no,multicellular,no,4,heterotroph,yes,cold,Eukaryotic,no,no,yes,no
turtle,no,terrestrial,animalia,no,no,no,omnivore,yes,eggs,no,multicellular,no,4,heterotroph,no,cold,Eukaryotic,no,no,no,yes
lizard,no,terrestrial,animalia,no,yes,no,omnivore,yes,eggs,no,multicellular,no,4,heterotroph,no,cold,Eukaryotic,no,no,yes,yes
bat,yes,terrestrial,animalia,no,no,no,omnivore,yes,live young,no,multicellular,yes,2,heterotroph,no,warm,Eukaryotic,no,no,no,no
worm,no,terrestrial,animalia,no,no,no,omnivore,no,eggs,no,multicellular,no,0,heterotroph,no,cold,Eukaryotic,no,no,yes,no
kangaroo,yes,terrestrial,animalia,no,no,no,herbivore,yes,live young,no,multicellular,no,2,heterotroph,no,warm,Eukaryotic,no,no,yes,no
crocodile,no,terrestrial,animalia,no,no,no,carnivore,yes,eggs,no,multicellular,no,4,heterotroph,no,cold,Eukaryotic,no,no,yes,no
snail,no,terrestrial,animalia,no,no,no,herbivore,no,eggs,no,multicellular,no,0,heterotroph,no,cold,Eukaryotic,no,no,no,no
yeast,no,terrestrial,fungi,no,no,no,NA,no,NA,no,multicellular,no,0,heterotroph,no,NA,Eukaryotic,yes,no,no,no
mold,no,terrestrial,fungi,no,no,no,NA,no,NA,no,multicellular,no,0,heterotroph,no,NA,Eukaryotic,yes,no,no,no
white mushroom,no,terrestrial,fungi,no,no,no,NA,no,NA,no,multicellular,no,0,heterotroph,no,NA,Eukaryotic,yes,no,no,no
death cap,no,terrestrial,fungi,no,no,no,NA,no,NA,no,multicellular,no,0,heterotroph,yes,NA,Eukaryotic,yes,no,no,no
